"gc-1","gc-2","gc-3","gc-4","gc-5","gc-6","likelihood","chimera","dataset"
1,1,5,6,8,8,0.93470629057816,6119.62200855172,"Lmono-454-LGC-1"
1,1,5,7,7,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,5,7,7,8,0.916451828687727,11362.452758829,"Lmono-454-LGC-1"
1,1,5,7,8,8,0.916396065659868,7816.44630656249,"Lmono-454-LGC-1"
1,1,5,8,8,8,0.935426632421029,5881.8731549718,"Lmono-454-LGC-1"
1,1,6,6,6,6,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,6,6,6,7,0.91767714235995,7422.5487491903,"Lmono-454-LGC-1"
1,1,6,6,6,8,0.917033067555777,6228.94867491395,"Lmono-454-LGC-1"
1,1,6,6,7,7,0.916394740882859,8054.19516014242,"Lmono-454-LGC-1"
1,1,6,6,7,8,0.93470629057816,6119.62200855172,"Lmono-454-LGC-1"
1,1,6,6,8,8,0.934317497927802,4926.02193427536,"Lmono-454-LGC-1"
1,1,6,7,7,7,0.916451828687727,11362.452758829,"Lmono-454-LGC-1"
1,1,6,7,7,8,0.916396065659868,7816.44630656249,"Lmono-454-LGC-1"
1,1,6,7,8,8,0.935426632421029,5881.8731549718,"Lmono-454-LGC-1"
1,1,6,8,8,8,0.916169289865766,4688.27308069545,"Lmono-454-LGC-1"
1,1,7,7,7,7,0.999933893038648,Inf,"Lmono-454-LGC-1"
1,1,7,7,7,8,0.928478453302118,11865.6769825633,"Lmono-454-LGC-1"
